MATCH_ID,RANK_PLAYED_AT,T1P1NAME,T1P1RANK,T1P1CHAMPION,T1P1SPELL1,T1P1SPELL2,T1P1SUMMONERLEVEL,T1P1WINS,T1P1LOSSES,T1P1WINRATE,T1P1VETERAN,T1P1HOTSTREAK,T1P2NAME,T1P2RANK,T1P2CHAMPION,T1P2SPELL1,T1P2SPELL2,T1P2SUMMONERLEVEL,T1P2WINS,T1P2LOSSES,T1P2WINRATE,T1P2VETERAN,T1P2HOTSTREAK,T1P3NAME,T1P3RANK,T1P3CHAMPION,T1P3SPELL1,T1P3SPELL2,T1P3SUMMONERLEVEL,T1P3WINS,T1P3LOSSES,T1P3WINRATE,T1P3VETERAN,T1P3HOTSTREAK,T1P4NAME,T1P4RANK,T1P4CHAMPION,T1P4SPELL1,T1P4SPELL2,T1P4SUMMONERLEVEL,T1P4WINS,T1P4LOSSES,T1P4WINRATE,T1P4VETERAN,T1P4HOTSTREAK,T1P5NAME,T1P5RANK,T1P5CHAMPION,T1P5SPELL1,T1P5SPELL2,T1P5SUMMONERLEVEL,T1P5WINS,T1P5LOSSES,T1P5WINRATE,T1P5VETERAN,T1P5HOTSTREAK,T1Aatrox,T1Ahri,T1Akali,T1Akshan,T1Alistar,T1Amumu,T1Anivia,T1Annie,T1Aphelios,T1Ashe,T1AurelionSol,T1Azir,T1Bard,T1Blitzcrank,T1Brand,T1Braum,T1Caitlyn,T1Camille,T1Cassiopeia,T1Chogath,T1Corki,T1Darius,T1Diana,T1DrMundo,T1Draven,T1Ekko,T1Elise,T1Evelynn,T1Ezreal,T1FiddleSticks,T1Fiora,T1Fizz,T1Galio,T1Gangplank,T1Garen,T1Gnar,T1Gragas,T1Graves,T1Gwen,T1Hecarim,T1Heimerdinger,T1Illaoi,T1Irelia,T1Ivern,T1Janna,T1JarvanIV,T1Jax,T1Jayce,T1Jhin,T1Jinx,T1Kaisa,T1Kalista,T1Karma,T1Karthus,T1Kassadin,T1Katarina,T1Kayle,T1Kayn,T1Kennen,T1Khazix,T1Kindred,T1Kled,T1KogMaw,T1Leblanc,T1LeeSin,T1Leona,T1Lillia,T1Lissandra,T1Lucian,T1Lulu,T1Lux,T1Malphite,T1Malzahar,T1Maokai,T1MasterYi,T1MissFortune,T1MonkeyKing,T1Mordekaiser,T1Morgana,T1Nami,T1Nasus,T1Nautilus,T1Neeko,T1Nidalee,T1Nocturne,T1Nunu,T1Olaf,T1Orianna,T1Ornn,T1Pantheon,T1Poppy,T1Pyke,T1Qiyana,T1Quinn,T1Rakan,T1Rammus,T1RekSai,T1Rell,T1Renata,T1Renekton,T1Rengar,T1Riven,T1Rumble,T1Ryze,T1Samira,T1Sejuani,T1Senna,T1Seraphine,T1Sett,T1Shaco,T1Shen,T1Shyvana,T1Singed,T1Sion,T1Sivir,T1Skarner,T1Sona,T1Soraka,T1Swain,T1Sylas,T1Syndra,T1TahmKench,T1Taliyah,T1Talon,T1Taric,T1Teemo,T1Thresh,T1Tristana,T1Trundle,T1Tryndamere,T1TwistedFate,T1Twitch,T1Udyr,T1Urgot,T1Varus,T1Vayne,T1Veigar,T1Velkoz,T1Vex,T1Vi,T1Viego,T1Viktor,T1Vladimir,T1Volibear,T1Warwick,T1Xayah,T1Xerath,T1XinZhao,T1Yasuo,T1Yone,T1Yorick,T1Yuumi,T1Zac,T1Zed,T1Zeri,T1Ziggs,T1Zilean,T1Zoe,T1Zyra,T2P1NAME,T2P1RANK,T2P1CHAMPION,T2P1SPELL1,T2P1SPELL2,T2P1SUMMONERLEVEL,T2P1WINS,T2P1LOSSES,T2P1WINRATE,T2P1VETERAN,T2P1HOTSTREAK,T2P2NAME,T2P2RANK,T2P2CHAMPION,T2P2SPELL1,T2P2SPELL2,T2P2SUMMONERLEVEL,T2P2WINS,T2P2LOSSES,T2P2WINRATE,T2P2VETERAN,T2P2HOTSTREAK,T2P3NAME,T2P3RANK,T2P3CHAMPION,T2P3SPELL1,T2P3SPELL2,T2P3SUMMONERLEVEL,T2P3WINS,T2P3LOSSES,T2P3WINRATE,T2P3VETERAN,T2P3HOTSTREAK,T2P4NAME,T2P4RANK,T2P4CHAMPION,T2P4SPELL1,T2P4SPELL2,T2P4SUMMONERLEVEL,T2P4WINS,T2P4LOSSES,T2P4WINRATE,T2P4VETERAN,T2P4HOTSTREAK,T2P5NAME,T2P5RANK,T2P5CHAMPION,T2P5SPELL1,T2P5SPELL2,T2P5SUMMONERLEVEL,T2P5WINS,T2P5LOSSES,T2P5WINRATE,T2P5VETERAN,T2P5HOTSTREAK,T2Aatrox,T2Ahri,T2Akali,T2Akshan,T2Alistar,T2Amumu,T2Anivia,T2Annie,T2Aphelios,T2Ashe,T2AurelionSol,T2Azir,T2Bard,T2Blitzcrank,T2Brand,T2Braum,T2Caitlyn,T2Camille,T2Cassiopeia,T2Chogath,T2Corki,T2Darius,T2Diana,T2DrMundo,T2Draven,T2Ekko,T2Elise,T2Evelynn,T2Ezreal,T2FiddleSticks,T2Fiora,T2Fizz,T2Galio,T2Gangplank,T2Garen,T2Gnar,T2Gragas,T2Graves,T2Gwen,T2Hecarim,T2Heimerdinger,T2Illaoi,T2Irelia,T2Ivern,T2Janna,T2JarvanIV,T2Jax,T2Jayce,T2Jhin,T2Jinx,T2Kaisa,T2Kalista,T2Karma,T2Karthus,T2Kassadin,T2Katarina,T2Kayle,T2Kayn,T2Kennen,T2Khazix,T2Kindred,T2Kled,T2KogMaw,T2Leblanc,T2LeeSin,T2Leona,T2Lillia,T2Lissandra,T2Lucian,T2Lulu,T2Lux,T2Malphite,T2Malzahar,T2Maokai,T2MasterYi,T2MissFortune,T2MonkeyKing,T2Mordekaiser,T2Morgana,T2Nami,T2Nasus,T2Nautilus,T2Neeko,T2Nidalee,T2Nocturne,T2Nunu,T2Olaf,T2Orianna,T2Ornn,T2Pantheon,T2Poppy,T2Pyke,T2Qiyana,T2Quinn,T2Rakan,T2Rammus,T2RekSai,T2Rell,T2Renata,T2Renekton,T2Rengar,T2Riven,T2Rumble,T2Ryze,T2Samira,T2Sejuani,T2Senna,T2Seraphine,T2Sett,T2Shaco,T2Shen,T2Shyvana,T2Singed,T2Sion,T2Sivir,T2Skarner,T2Sona,T2Soraka,T2Swain,T2Sylas,T2Syndra,T2TahmKench,T2Taliyah,T2Talon,T2Taric,T2Teemo,T2Thresh,T2Tristana,T2Trundle,T2Tryndamere,T2TwistedFate,T2Twitch,T2Udyr,T2Urgot,T2Varus,T2Vayne,T2Veigar,T2Velkoz,T2Vex,T2Vi,T2Viego,T2Viktor,T2Vladimir,T2Volibear,T2Warwick,T2Xayah,T2Xerath,T2XinZhao,T2Yasuo,T2Yone,T2Yorick,T2Yuumi,T2Zac,T2Zed,T2Zeri,T2Ziggs,T2Zilean,T2Zoe,T2Zyra,WINNINGTEAM
NA1_4262771046,IRON IV,b'Floydflamingo',4,Pantheon,4,14,145,113,120,0.48498,0,0,b'Rose4you',4,Khazix,4,11,69,24,29,0.45283,0,0,b'T1 Gamayusi',3,Vex,4,12,109,57,54,0.51351,0,0,b'CountEa',0,Ashe,4,7,76,7,21,0.25000,0,0,b'AsunderPotato',6,Pyke,14,4,136,120,111,0.51948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'GhstBldSharpie',3,Sett,4,14,67,110,131,0.45643,0,0,b'NightS1lent',2,Amumu,11,4,67,62,50,0.55357,0,0,b'Krookd2',4,Katarina,14,4,35,29,44,0.39726,0,0,b'SheriffGiz69',4,Vayne,14,4,132,62,60,0.50820,0,0,b'Mayormike',3,Shaco,12,4,317,114,145,0.44015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4285613044,IRON IV,b'SoloYoMamaOnly',4,Illaoi,4,12,336,55,68,0.44715,0,0,b'The Gas Station',4,Nunu,11,4,85,67,102,0.39645,0,0,b'Hade18',1,Yone,4,14,47,58,81,0.41727,0,0,b'oso\xc3\x94',4,Jinx,6,4,36,27,44,0.38028,0,0,b'LeeroiJankins',0,Braum,3,4,341,155,166,0.48287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,b'xXUNSANCTIONEDXx',3,Renekton,4,12,143,20,11,0.64516,0,0,b'RoyalCheeks',1,Vi,4,11,76,28,52,0.35000,0,0,b'BigMonLawson',3,Akali,14,4,88,14,20,0.41176,0,0,b'shadow reaper1',2,Kaisa,7,4,183,239,238,0.50105,0,0,b'MisterC1998',3,Morgana,4,3,89,41,40,0.50617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4285303877,IRON IV,b'STARFOXJM',4,Morgana,7,4,470,181,202,0.47258,0,0,b'YouScratchedMyCD',2,Diana,11,4,329,14,27,0.34146,0,0,b'oFaMouSo 69',2,Nasus,14,4,122,331,334,0.49774,0,0,b'whoisViz',2,Volibear,4,7,36,17,37,0.31481,0,0,b'Julianp651',4,Lux,6,3,139,56,66,0.45902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'GodOfDawn12',0,Aatrox,4,12,220,33,36,0.47826,0,0,b'Lurk3rz',4,Evelynn,4,11,158,56,66,0.45902,0,0,b'wawa hoggie 1',4,Kaisa,4,21,287,114,132,0.46341,0,0,b'IxI Izzo IxI',4,Jinx,4,14,197,97,109,0.47087,0,0,b'NorthernTitan',4,Janna,4,3,564,203,225,0.47430,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4284876242,IRON IV,b'ryangotpencils',1,Illaoi,4,12,128,26,37,0.41270,0,0,b'CassimSaluja786',2,MasterYi,4,11,94,144,169,0.46006,0,0,b'GARTHYHP',3,Nasus,12,4,337,298,278,0.51736,0,0,b'C4P0',4,Samira,7,4,168,342,326,0.51198,0,0,b'A7SUKO',1,Lux,4,14,74,91,122,0.42723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'ElvisTeck27',4,Volibear,14,4,92,29,40,0.42029,0,0,b'demonpeaches',4,Ekko,6,11,89,102,110,0.48113,0,0,b'Savagentle',0,Teemo,12,14,261,69,78,0.46939,0,0,b'PraiseTheSunBoy',2,Jhin,7,4,179,76,87,0.46626,0,0,b'hallow182',4,Swain,3,4,169,36,25,0.59016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4286319168,IRON III,b'XPhantomSIayer',4,Nasus,4,14,88,21,40,0.34426,0,0,b'Emprator Islam',4,Kayn,4,11,102,250,238,0.51230,0,0,b'Owlireza',4,Varus,14,4,52,29,44,0.39726,0,0,b'sayaKrs',4,Caitlyn,7,4,71,64,57,0.52893,0,0,b'Ya Boy Red',0,Pyke,14,4,350,15,29,0.34091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'cokwastaken',4,Mordekaiser,4,14,49,1,10,0.09091,0,0,b'BradyBaby',2,Warwick,4,11,59,33,55,0.37500,0,0,b'opmXD',1,Zoe,4,14,105,155,180,0.46269,0,0,b'oysterhoister',1,Sivir,7,4,123,294,300,0.49495,0,0,b'Jess a noob',4,Pantheon,14,4,98,77,88,0.46667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NA1_4286317752,IRON IV,b'SukablyatRU',3,Teemo,4,14,70,142,142,0.50000,0,0,b'United7',4,Kayn,4,11,106,68,76,0.47222,0,0,b'hippiedelux',1,Ahri,4,14,62,72,82,0.46753,0,0,b'KillerQueen787',2,Jinx,4,1,258,229,237,0.49142,0,0,b'electrixlide',0,Lux,14,4,127,57,85,0.40141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'blink2c',3,Kayle,12,4,47,32,33,0.49231,0,0,b'sovietbaer1921',1,Khazix,4,11,70,15,47,0.24194,0,0,b'DirtyHarry9000',4,Neeko,4,14,91,101,95,0.51531,0,0,b'SuperWrecker',0,Ashe,4,7,185,82,101,0.44809,0,0,b'diedienow',2,Zyra,4,14,55,125,151,0.45290,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NA1_4259942534,IRON IV,b'Dammet Bobby',1,Teemo,4,14,44,134,174,0.43506,0,0,b'Bonecollector584',3,Shyvana,11,4,56,129,140,0.47955,0,0,b'Karoloser',4,Mordekaiser,4,14,213,406,381,0.51588,0,0,b'Porelculey',2,Ashe,4,7,39,30,49,0.37975,0,0,b'JBoner35',2,Ahri,4,14,192,295,292,0.50256,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'BeefyGreenTea',4,Yorick,6,12,111,43,66,0.39450,0,0,b'SKRILLEX FAN',0,Shaco,11,14,50,74,101,0.42286,0,0,b'FuzzyWuzzy08',1,Veigar,14,4,74,43,49,0.46739,0,0,b'DaSalty',4,Samira,4,7,69,185,165,0.52857,0,0,b'Deshyim',1,Soraka,4,7,34,16,51,0.23881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NA1_4233835761,IRON IV,b'Guttripa',0,Teemo,4,7,36,6,24,0.20000,0,0,b'Awnska',5,Nocturne,4,11,120,188,138,0.57669,0,0,b' Patyx22',7,Xerath,4,21,277,77,61,0.55797,0,0,b'Sirkee',2,Ashe,4,7,53,53,87,0.37857,0,0,b'poodadddy',4,Brand,4,14,49,75,91,0.45181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,b'Tharppp',4,Tryndamere,6,14,65,133,120,0.52569,0,0,b'sidthesloth1738',4,Warwick,4,11,72,54,60,0.47368,0,0,b'NotoriousBRD',3,TwistedFate,3,4,331,80,82,0.49383,0,0,b'EmperorGrim',1,Ezreal,4,7,541,88,85,0.50867,0,0,b'Pikachu1105',5,Galio,14,4,183,212,202,0.51208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4285972614,IRON IV,b'QuerEscobaryt',3,Sett,14,12,166,24,22,0.52174,0,0,b'H5UYA',4,Viego,11,4,267,271,245,0.52519,0,0,b'TheAceCrow',0,Ryze,6,12,86,56,74,0.43077,0,0,b'dmrLoL',3,MissFortune,4,7,63,10,8,0.55556,0,0,b'tbone0811',4,Lux,7,6,50,113,127,0.47083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'jungle273',3,Akali,14,4,114,246,263,0.48330,0,0,b'Noahstradamus96',0,Warwick,4,11,53,42,76,0.35593,0,0,b'legend7137',5,Viktor,14,4,113,283,278,0.50446,0,0,b'ProphecyES',1,Ashe,4,7,69,39,67,0.36792,0,0,b'Almost Redneck',4,Anivia,3,4,109,100,97,0.50761,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4285322666,IRON IV,b'MaxwellKurogane',5,Volibear,4,11,444,207,218,0.48706,0,0,b'WBGTheShy 2022',8,Graves,4,14,236,170,140,0.54839,0,0,b'OGMJC',4,Irelia,14,4,193,55,57,0.49107,0,0,b'xHadesx',6,Samira,4,7,32,9,16,0.36000,0,0,b'SwKenshi',6,Brand,4,14,126,48,56,0.46154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Criqy',7,Kled,4,14,63,31,23,0.57407,0,0,b'BossBabyVids',4,Kayn,4,11,48,14,12,0.53846,0,0,b'Torb is Fat',0,Tristana,14,4,206,149,174,0.46130,0,0,b'VixCa\xc3\xact',8,Ezreal,4,7,52,134,157,0.46048,0,0,b'Flyinfupa',8,Blitzcrank,4,3,233,47,45,0.51087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
