T1P1RANK,T1P1SUMMONERLEVEL,T1P1WINS,T1P1LOSSES,T1P1WINRATE,T1P2RANK,T1P2SUMMONERLEVEL,T1P2WINS,T1P2LOSSES,T1P2WINRATE,T1P3RANK,T1P3SUMMONERLEVEL,T1P3WINS,T1P3LOSSES,T1P3WINRATE,T1P4RANK,T1P4SUMMONERLEVEL,T1P4WINS,T1P4LOSSES,T1P4WINRATE,T1P5RANK,T1P5SUMMONERLEVEL,T1P5WINS,T1P5LOSSES,T1P5WINRATE,T1Aatrox,T1Ahri,T1Akali,T1Akshan,T1Alistar,T1Amumu,T1Anivia,T1Annie,T1Aphelios,T1Ashe,T1AurelionSol,T1Azir,T1Bard,T1Blitzcrank,T1Brand,T1Braum,T1Caitlyn,T1Camille,T1Cassiopeia,T1Chogath,T1Corki,T1Darius,T1Diana,T1DrMundo,T1Draven,T1Ekko,T1Elise,T1Evelynn,T1Ezreal,T1FiddleSticks,T1Fiora,T1Fizz,T1Galio,T1Gangplank,T1Garen,T1Gnar,T1Gragas,T1Graves,T1Gwen,T1Hecarim,T1Heimerdinger,T1Illaoi,T1Irelia,T1Ivern,T1Janna,T1JarvanIV,T1Jax,T1Jayce,T1Jhin,T1Jinx,T1Kaisa,T1Kalista,T1Karma,T1Karthus,T1Kassadin,T1Katarina,T1Kayle,T1Kayn,T1Kennen,T1Khazix,T1Kindred,T1Kled,T1KogMaw,T1Leblanc,T1LeeSin,T1Leona,T1Lillia,T1Lissandra,T1Lucian,T1Lulu,T1Lux,T1Malphite,T1Malzahar,T1Maokai,T1MasterYi,T1MissFortune,T1MonkeyKing,T1Mordekaiser,T1Morgana,T1Nami,T1Nasus,T1Nautilus,T1Neeko,T1Nidalee,T1Nocturne,T1Nunu,T1Olaf,T1Orianna,T1Ornn,T1Pantheon,T1Poppy,T1Pyke,T1Qiyana,T1Quinn,T1Rakan,T1Rammus,T1RekSai,T1Rell,T1Renata,T1Renekton,T1Rengar,T1Riven,T1Rumble,T1Ryze,T1Samira,T1Sejuani,T1Senna,T1Seraphine,T1Sett,T1Shaco,T1Shen,T1Shyvana,T1Singed,T1Sion,T1Sivir,T1Skarner,T1Sona,T1Soraka,T1Swain,T1Sylas,T1Syndra,T1TahmKench,T1Taliyah,T1Talon,T1Taric,T1Teemo,T1Thresh,T1Tristana,T1Trundle,T1Tryndamere,T1TwistedFate,T1Twitch,T1Udyr,T1Urgot,T1Varus,T1Vayne,T1Veigar,T1Velkoz,T1Vex,T1Vi,T1Viego,T1Viktor,T1Vladimir,T1Volibear,T1Warwick,T1Xayah,T1Xerath,T1XinZhao,T1Yasuo,T1Yone,T1Yorick,T1Yuumi,T1Zac,T1Zed,T1Zeri,T1Ziggs,T1Zilean,T1Zoe,T1Zyra,T2P1RANK,T2P1SUMMONERLEVEL,T2P1WINS,T2P1LOSSES,T2P1WINRATE,T2P2RANK,T2P2SUMMONERLEVEL,T2P2WINS,T2P2LOSSES,T2P2WINRATE,T2P3RANK,T2P3SUMMONERLEVEL,T2P3WINS,T2P3LOSSES,T2P3WINRATE,T2P4RANK,T2P4SUMMONERLEVEL,T2P4WINS,T2P4LOSSES,T2P4WINRATE,T2P5RANK,T2P5SUMMONERLEVEL,T2P5WINS,T2P5LOSSES,T2P5WINRATE,T2Aatrox,T2Ahri,T2Akali,T2Akshan,T2Alistar,T2Amumu,T2Anivia,T2Annie,T2Aphelios,T2Ashe,T2AurelionSol,T2Azir,T2Bard,T2Blitzcrank,T2Brand,T2Braum,T2Caitlyn,T2Camille,T2Cassiopeia,T2Chogath,T2Corki,T2Darius,T2Diana,T2DrMundo,T2Draven,T2Ekko,T2Elise,T2Evelynn,T2Ezreal,T2FiddleSticks,T2Fiora,T2Fizz,T2Galio,T2Gangplank,T2Garen,T2Gnar,T2Gragas,T2Graves,T2Gwen,T2Hecarim,T2Heimerdinger,T2Illaoi,T2Irelia,T2Ivern,T2Janna,T2JarvanIV,T2Jax,T2Jayce,T2Jhin,T2Jinx,T2Kaisa,T2Kalista,T2Karma,T2Karthus,T2Kassadin,T2Katarina,T2Kayle,T2Kayn,T2Kennen,T2Khazix,T2Kindred,T2Kled,T2KogMaw,T2Leblanc,T2LeeSin,T2Leona,T2Lillia,T2Lissandra,T2Lucian,T2Lulu,T2Lux,T2Malphite,T2Malzahar,T2Maokai,T2MasterYi,T2MissFortune,T2MonkeyKing,T2Mordekaiser,T2Morgana,T2Nami,T2Nasus,T2Nautilus,T2Neeko,T2Nidalee,T2Nocturne,T2Nunu,T2Olaf,T2Orianna,T2Ornn,T2Pantheon,T2Poppy,T2Pyke,T2Qiyana,T2Quinn,T2Rakan,T2Rammus,T2RekSai,T2Rell,T2Renata,T2Renekton,T2Rengar,T2Riven,T2Rumble,T2Ryze,T2Samira,T2Sejuani,T2Senna,T2Seraphine,T2Sett,T2Shaco,T2Shen,T2Shyvana,T2Singed,T2Sion,T2Sivir,T2Skarner,T2Sona,T2Soraka,T2Swain,T2Sylas,T2Syndra,T2TahmKench,T2Taliyah,T2Talon,T2Taric,T2Teemo,T2Thresh,T2Tristana,T2Trundle,T2Tryndamere,T2TwistedFate,T2Twitch,T2Udyr,T2Urgot,T2Varus,T2Vayne,T2Veigar,T2Velkoz,T2Vex,T2Vi,T2Viego,T2Viktor,T2Vladimir,T2Volibear,T2Warwick,T2Xayah,T2Xerath,T2XinZhao,T2Yasuo,T2Yone,T2Yorick,T2Yuumi,T2Zac,T2Zed,T2Zeri,T2Ziggs,T2Zilean,T2Zoe,T2Zyra,WINNINGTEAM
4,145,113,120,0.48498,4,69,24,29,0.45283,3,109,57,54,0.51351,0,76,7,21,0.25,6,136,120,111,0.51948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,67,110,131,0.45643,2,67,62,50,0.55357,4,35,29,44,0.39726,4,132,62,60,0.5082,3,317,114,145,0.44015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,336,55,68,0.44715,4,85,67,102,0.39645,1,47,58,81,0.41727,4,36,27,44,0.38028,0,341,155,166,0.48287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,143,20,11,0.64516,1,76,28,52,0.35,3,88,14,20,0.41176,2,183,239,238,0.50105,3,89,41,40,0.50617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,470,181,202,0.47258,2,329,14,27,0.34146,2,122,331,334,0.49774,2,36,17,37,0.31481,4,139,56,66,0.45902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,33,36,0.47826,4,158,56,66,0.45902,4,287,114,132,0.46341,4,197,97,109,0.47087,4,564,203,225,0.4743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,128,26,37,0.4127,2,94,144,169,0.46006,3,337,298,278,0.51736,4,168,342,326,0.51198,1,74,91,122,0.42723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,29,40,0.42029,4,89,102,110,0.48113,0,261,69,78,0.46939,2,179,76,87,0.46626,4,169,36,25,0.59016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,88,21,40,0.34426,4,102,250,238,0.5123,4,52,29,44,0.39726,4,71,64,57,0.52893,0,350,15,29,0.34091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,1,10,0.09091,2,59,33,55,0.375,1,105,155,180,0.46269,1,123,294,300,0.49495,4,98,77,88,0.46667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,70,142,142,0.5,4,106,68,76,0.47222,1,62,72,82,0.46753,2,258,229,237,0.49142,0,127,57,85,0.40141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,32,33,0.49231,1,70,15,47,0.24194,4,91,101,95,0.51531,0,185,82,101,0.44809,2,55,125,151,0.4529,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,44,134,174,0.43506,3,56,129,140,0.47955,4,213,406,381,0.51588,2,39,30,49,0.37975,2,192,295,292,0.50256,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,111,43,66,0.3945,0,50,74,101,0.42286,1,74,43,49,0.46739,4,69,185,165,0.52857,1,34,16,51,0.23881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,36,6,24,0.2,5,120,188,138,0.57669,7,277,77,61,0.55797,2,53,53,87,0.37857,4,49,75,91,0.45181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,65,133,120,0.52569,4,72,54,60,0.47368,3,331,80,82,0.49383,1,541,88,85,0.50867,5,183,212,202,0.51208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,166,24,22,0.52174,4,267,271,245,0.52519,0,86,56,74,0.43077,3,63,10,8,0.55556,4,50,113,127,0.47083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,246,263,0.4833,0,53,42,76,0.35593,5,113,283,278,0.50446,1,69,39,67,0.36792,4,109,100,97,0.50761,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,444,207,218,0.48706,8,236,170,140,0.54839,4,193,55,57,0.49107,6,32,9,16,0.36,6,126,48,56,0.46154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,63,31,23,0.57407,4,48,14,12,0.53846,0,206,149,174,0.4613,8,52,134,157,0.46048,8,233,47,45,0.51087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
