MATCH_ID,P1NAME,P1RANK,P1CHAMPION,P1CHAMPIONID,P1SPELL1,P1SPELL2,P1SUMMONERLEVEL,P2NAME,P2RANK,P2CHAMPION,P2CHAMPIONID,P2SPELL1,P2SPELL2,P2SUMMONERLEVEL,P3NAME,P3RANK,P3CHAMPION,P3CHAMPIONID,P3SPELL1,P3SPELL2,P3SUMMONERLEVEL,P4NAME,P4RANK,P4CHAMPION,P4CHAMPIONID,P4SPELL1,P4SPELL2,P4SUMMONERLEVEL,P5NAME,P5RANK,P5CHAMPION,P5CHAMPIONID,P5SPELL1,P5SPELL2,P5SUMMONERLEVEL,P6NAME,P6RANK,P6CHAMPION,P6CHAMPIONID,P6SPELL1,P6SPELL2,P6SUMMONERLEVEL,P7NAME,P7RANK,P7CHAMPION,P7CHAMPIONID,P7SPELL1,P7SPELL2,P7SUMMONERLEVEL,P8NAME,P8RANK,P8CHAMPION,P8CHAMPIONID,P8SPELL1,P8SPELL2,P8SUMMONERLEVEL,P9NAME,P9RANK,P9CHAMPION,P9CHAMPIONID,P9SPELL1,P9SPELL2,P9SUMMONERLEVEL,P10NAME,P10RANK,P10CHAMPION,P10CHAMPIONID,P10SPELL1,P10SPELL2,P10SUMMONERLEVEL,WIN
NA1_4266525143,b'mjchops',placehold,Teemo,17,4,14,89,b'a wanted walrus',placehold,Kayn,141,11,4,83,b'oliveoilllllllll',placehold,Akali,84,4,3,75,b'Cyborg1903',placehold,Jinx,222,4,7,71,b'Davidc409',placehold,Pyke,555,14,4,146,b'02subzero',placehold,Urgot,6,12,4,167,b'YoMamma680',placehold,Ekko,245,4,11,62,b'Derkwood10',placehold,Lissandra,127,4,14,53,b'420xxgaymer',placehold,Ashe,22,4,7,716,b'Billwan2010',placehold,Nami,267,21,4,248,1
NA1_4266161525,b'Zxnpii',placehold,Yone,777,14,4,42,b'TheMlgMuk',placehold,MasterYi,11,11,4,101,b'SupineFire78778',placehold,Xerath,101,4,21,224,b'Dinosaur Meow',placehold,Kindred,203,4,7,119,b'BigPeteLord',placehold,Yuumi,350,4,7,85,b'xCxPxMagnum',placehold,Malphite,54,12,4,71,b'n ramen',placehold,Kayn,141,11,14,163,b'anuwusha',placehold,Ahri,103,14,4,44,b'slopppytopppy',placehold,Jinx,222,4,7,162,b'4poop',placehold,Brand,63,4,14,158,1
NA1_4227216766,b'SilverorLead4u',placehold,Kalista,429,7,4,30,b'1st Lt LeBlanc',placehold,Udyr,77,4,14,140,b'belgraderesident',placehold,Syndra,134,6,4,79,b'Trapz123',placehold,Gwen,887,4,11,122,b'Ivaleras',placehold,Lux,99,4,21,108,b'liquidjake',placehold,Vex,711,4,14,97,b'NGKayKay',placehold,Rengar,107,4,11,39,b'Ballislife692',placehold,Yasuo,157,4,14,74,b'Silvawhite',placehold,Ashe,22,4,6,72,b'lancer fox',placehold,Alistar,12,3,4,230,1
NA1_4266323534,b'TheDeepCleaner',placehold,Sion,14,4,12,47,b'Ka\xc4\xb1Rin',placehold,Shyvana,102,4,11,269,b'GoblinSlayer1608',placehold,Akali,84,4,14,41,b'SoupItzGood',placehold,Ashe,22,4,14,30,b'teemo big dick',placehold,Teemo,17,14,4,53,b'3DwithabigP',placehold,Malphite,54,12,4,68,b'dankedy',placehold,Nunu,20,11,4,331,b'LuvkyTv',placehold,Graves,104,4,14,117,b'Damn Smurf',placehold,Kaisa,145,4,7,186,b'Ward the Rivers',placehold,Thresh,412,3,4,217,0
NA1_4205208416,b'dinglehopper69',placehold,Kayle,10,12,14,242,b'TopHatCat',placehold,Ekko,245,11,4,480,b'ItsYoBoyJJ',placehold,Zed,238,4,14,46,b'Kakito1148',placehold,Ashe,22,4,14,84,b'raindropscyn',placehold,Rell,526,3,7,256,b'imfamous pidgeon',placehold,Renekton,58,4,14,357,b'UGGrimz',placehold,Warwick,19,4,11,37,b'Classic Mid Dif',placehold,Fizz,105,14,4,35,b'Telemund0',placehold,Caitlyn,51,4,7,116,b'Killaeri',placehold,Leona,89,4,14,40,0
NA1_4253193877,b'Tyler Gainz',placehold,Vayne,67,4,6,40,b'CoochieControl',placehold,Kindred,203,4,11,119,b'GODofDARKice',placehold,Yasuo,157,14,4,119,b'WhiteTig3r',placehold,Varus,110,4,7,311,b'Essence0513',placehold,Sona,37,4,14,156,b'RidingUnicorns',placehold,Akali,84,14,6,217,b'RavensKlaw',placehold,Kayn,141,4,11,111,b'LilRambe29',placehold,Fizz,105,12,14,164,b'uCDisgrace',placehold,Tristana,18,4,7,80,b'DonkitupDuder',placehold,Lulu,117,4,14,114,1
NA1_4249866133,b'Hallowinside777',placehold,Mordekaiser,82,12,4,35,b'MachTails',placehold,Warwick,19,11,4,32,b'CertifiedGOAT',placehold,Zoe,142,14,4,58,b'BurstJammer',placehold,Vayne,67,7,4,187,b'Chill3dOut Gam3r',placehold,Zyra,143,14,4,286,b'Ehamsguy',placehold,Jinx,222,7,4,92,b'MeJitsal',placehold,Sejuani,113,11,14,69,b'SudoPineapple',placehold,Pantheon,80,14,4,161,b'Ionias Bladee',placehold,Irelia,39,12,4,128,b'JakeOfTheCosmos',placehold,Ahri,103,4,14,109,1
NA1_4257064493,b'rwchckngt1234',placehold,Yasuo,157,4,12,106,b'TRAPfantasy',placehold,Chogath,31,4,11,70,b'AnXieTy2u',placehold,Annie,1,14,4,67,b'MiniLeagueGamer',placehold,Vayne,67,14,4,162,b'yourtrashbrother',placehold,Morgana,25,4,14,156,b'imhereright',placehold,Quinn,133,4,14,218,b'Techtronics',placehold,Trundle,48,4,11,69,b'ttwin2',placehold,Fizz,105,4,14,71,b'chumpsackk',placehold,Kaisa,145,7,4,58,b'Swagnicent',placehold,Lux,99,14,4,141,0
NA1_4266401275,b'complains',placehold,Darius,122,4,6,87,b'Mihirrocks999',placehold,Nocturne,56,4,11,104,b'ImZZZleepy',placehold,Irelia,39,4,14,152,b'Frost53224',placehold,Jhin,202,7,4,173,b'4r1su',placehold,Neeko,518,4,14,118,b'808omu',placehold,Sion,14,4,12,71,b'SkorgiGOD',placehold,Rammus,33,14,11,45,b'unshavenpossy',placehold,Lux,99,4,21,45,b'Alpha Qu',placehold,Veigar,45,4,12,89,b'obiwannablowme',placehold,Nautilus,111,4,14,54,0
NA1_4266532468,b'aresot',placehold,TahmKench,223,4,14,159,b'calistacafe',placehold,MissFortune,21,4,14,209,b'Joyceon',placehold,Ahri,103,14,4,72,b'awesomeguy1211',placehold,Diana,131,4,11,97,b'milimoony',placehold,Nami,267,4,14,178,b'YVNG BRIVN',placehold,Aatrox,266,4,14,175,b'Landinii',placehold,Kindred,203,4,11,134,b'MyTilLeR',placehold,Xerath,101,4,21,103,b'Crazyknees',placehold,Caitlyn,51,14,4,145,b'Zypherax',placehold,Seraphine,147,4,7,36,1
