MATCH_ID,RANK_PLAYED_AT,T1P1NAME,T1P1RANK,T1P1CHAMPION,T1P1SPELL1,T1P1SPELL2,T1P1SUMMONERLEVEL,T1P1WINS,T1P1LOSSES,T1P1VETERAN,T1P1HOTSTREAK,T1P2NAME,T1P2RANK,T1P2CHAMPION,T1P2SPELL1,T1P2SPELL2,T1P2SUMMONERLEVEL,T1P2WINS,T1P2LOSSES,T1P2VETERAN,T1P2HOTSTREAK,T1P3NAME,T1P3RANK,T1P3CHAMPION,T1P3SPELL1,T1P3SPELL2,T1P3SUMMONERLEVEL,T1P3WINS,T1P3LOSSES,T1P3VETERAN,T1P3HOTSTREAK,T1P4NAME,T1P4RANK,T1P4CHAMPION,T1P4SPELL1,T1P4SPELL2,T1P4SUMMONERLEVEL,T1P4WINS,T1P4LOSSES,T1P4VETERAN,T1P4HOTSTREAK,T1P5NAME,T1P5RANK,T1P5CHAMPION,T1P5SPELL1,T1P5SPELL2,T1P5SUMMONERLEVEL,T1P5WINS,T1P5LOSSES,T1P5VETERAN,T1P5HOTSTREAK,T1Kayle,T1Jax,T1Diana,T1Yasuo,T1Aphelios,T1Senna,T1Sett,T1Warwick,T1MissFortune,T1Jhin,T1Soraka,T1Gragas,T1Shaco,T1Galio,T1Blitzcrank,T1Garen,T1Vi,T1Jinx,T1Irelia,T1Tryndamere,T1Sion,T1MonkeyKing,T1Seraphine,T1Caitlyn,T1Karma,T1Teemo,T1Viego,T1Yone,T1Morgana,T1Ahri,T1Renekton,T1Fizz,T1Leona,T1Ekko,T1Zed,T1Ashe,T1Rell,T1Yorick,T1Trundle,T1Qiyana,T1Velkoz,T1Gangplank,T1Shyvana,T1Akshan,T1Taric,T1Samira,T1Lux,T1Volibear,T1Akali,T1Twitch,T1Gnar,T1Tristana,T1Chogath,T1Shen,T1Nunu,T1Katarina,T1Illaoi,T1Kayn,T1Lillia,T1Janna,T1Graves,T1Sylas,T1Draven,T1TahmKench,T1Veigar,T1Brand,T1Kaisa,T1Kindred,T1Neeko,T1Quinn,T1Annie,T1Vayne,T1Zeri,T1Yuumi,T1MasterYi,T1Zoe,T1Lissandra,T1Singed,T1Kennen,T1Ezreal,T1Kled,T1FiddleSticks,T1Ziggs,T1Pyke,T1Sivir,T1Pantheon,T1Khazix,T1Vex,T1Amumu,T1Braum,T1Nasus,T1Aatrox,T1Evelynn,T1Swain,T1Mordekaiser,T1Syndra,T1Lucian,T1Zyra,T1Poppy,T1Malphite,T1Leblanc,T1Rumble,T1Zilean,T1JarvanIV,T1Renata,T1XinZhao,T1Xerath,T1Darius,T1Nocturne,T1LeeSin,T1Urgot,T1Malzahar,T1Lulu,T1Ryze,T1DrMundo,T1Hecarim,T1Xayah,T1Cassiopeia,T1Riven,T1Nami,T1Rengar,T1Rammus,T1Heimerdinger,T1Sejuani,T1Nautilus,T1Talon,T1Thresh,T1Anivia,T1Bard,T1Fiora,T1Orianna,T1Sona,T1Viktor,T1Ivern,T1Corki,T1Karthus,T1Camille,T1KogMaw,T1Elise,T1Maokai,T1Jayce,T1AurelionSol,T1Kassadin,T1Vladimir,T1Gwen,T1Kalista,T1Olaf,T1Ornn,T1Skarner,T1TwistedFate,T1Varus,T1Alistar,T1RekSai,T1Rakan,T1Udyr,T1Nidalee,T1Zac,T1Azir,T2P1NAME,T2P1RANK,T2P1CHAMPION,T2P1SPELL1,T2P1SPELL2,T2P1SUMMONERLEVEL,T2P1WINS,T2P1LOSSES,T2P1VETERAN,T2P1HOTSTREAK,T2P2NAME,T2P2RANK,T2P2CHAMPION,T2P2SPELL1,T2P2SPELL2,T2P2SUMMONERLEVEL,T2P2WINS,T2P2LOSSES,T2P2VETERAN,T2P2HOTSTREAK,T2P3NAME,T2P3RANK,T2P3CHAMPION,T2P3SPELL1,T2P3SPELL2,T2P3SUMMONERLEVEL,T2P3WINS,T2P3LOSSES,T2P3VETERAN,T2P3HOTSTREAK,T2P4NAME,T2P4RANK,T2P4CHAMPION,T2P4SPELL1,T2P4SPELL2,T2P4SUMMONERLEVEL,T2P4WINS,T2P4LOSSES,T2P4VETERAN,T2P4HOTSTREAK,T2P5NAME,T2P5RANK,T2P5CHAMPION,T2P5SPELL1,T2P5SPELL2,T2P5SUMMONERLEVEL,T2P5WINS,T2P5LOSSES,T2P5VETERAN,T2P5HOTSTREAK,T2Kayle,T2Jax,T2Diana,T2Yasuo,T2Aphelios,T2Senna,T2Sett,T2Warwick,T2MissFortune,T2Jhin,T2Soraka,T2Gragas,T2Shaco,T2Galio,T2Blitzcrank,T2Garen,T2Vi,T2Jinx,T2Irelia,T2Tryndamere,T2Sion,T2MonkeyKing,T2Seraphine,T2Caitlyn,T2Karma,T2Teemo,T2Viego,T2Yone,T2Morgana,T2Ahri,T2Renekton,T2Fizz,T2Leona,T2Ekko,T2Zed,T2Ashe,T2Rell,T2Yorick,T2Trundle,T2Qiyana,T2Velkoz,T2Gangplank,T2Shyvana,T2Akshan,T2Taric,T2Samira,T2Lux,T2Volibear,T2Akali,T2Twitch,T2Gnar,T2Tristana,T2Chogath,T2Shen,T2Nunu,T2Katarina,T2Illaoi,T2Kayn,T2Lillia,T2Janna,T2Graves,T2Sylas,T2Draven,T2TahmKench,T2Veigar,T2Brand,T2Kaisa,T2Kindred,T2Neeko,T2Quinn,T2Annie,T2Vayne,T2Zeri,T2Yuumi,T2MasterYi,T2Zoe,T2Lissandra,T2Singed,T2Kennen,T2Ezreal,T2Kled,T2FiddleSticks,T2Ziggs,T2Pyke,T2Sivir,T2Pantheon,T2Khazix,T2Vex,T2Amumu,T2Braum,T2Nasus,T2Aatrox,T2Evelynn,T2Swain,T2Mordekaiser,T2Syndra,T2Lucian,T2Zyra,T2Poppy,T2Malphite,T2Leblanc,T2Rumble,T2Zilean,T2JarvanIV,T2Renata,T2XinZhao,T2Xerath,T2Darius,T2Nocturne,T2LeeSin,T2Urgot,T2Malzahar,T2Lulu,T2Ryze,T2DrMundo,T2Hecarim,T2Xayah,T2Cassiopeia,T2Riven,T2Nami,T2Rengar,T2Rammus,T2Heimerdinger,T2Sejuani,T2Nautilus,T2Talon,T2Thresh,T2Anivia,T2Bard,T2Fiora,T2Orianna,T2Sona,T2Viktor,T2Ivern,T2Corki,T2Karthus,T2Camille,T2KogMaw,T2Elise,T2Maokai,T2Jayce,T2AurelionSol,T2Kassadin,T2Vladimir,T2Gwen,T2Kalista,T2Olaf,T2Ornn,T2Skarner,T2TwistedFate,T2Varus,T2Alistar,T2RekSai,T2Rakan,T2Udyr,T2Nidalee,T2Zac,T2Azir,WINNINGTEAM
NA1_4286060830,IRON I,b'ThanutsSLAM',0,Jax,4,12,71,94,111,0,0,b'Kitinen',4,Diana,11,4,44,59,87,0,0,b'Titans Of Egypt ',4,Yasuo,4,14,70,44,52,0,0,b'KADENPLAYZ109',0,Aphelios,4,14,59,29,61,0,0,b'Davidc409',3,Senna,14,4,149,26,27,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'OneJerkSquirt89',2,Sett,4,14,93,129,140,0,0,b'TridraLOL',4,Warwick,4,11,39,6,22,0,0,b'drunKenshrimp',1,MissFortune,4,7,94,47,62,0,0,b'lilcaligula',3,Jhin,4,7,172,22,33,0,0,b'GALAZEUS',4,Soraka,3,4,470,136,143,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4284678308,IRON I,b'GlizzyGoblin42',4,Garen,14,4,44,85,109,0,0,b'itzNostra',4,Vi,11,4,148,129,149,0,0,b'Zeta winx',4,Yasuo,4,14,77,169,183,0,0,b'puffymuffy69',3,Jinx,7,4,464,119,124,0,0,b'ZeeMoreButtZ',4,Senna,3,4,449,107,110,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Soapyandmoist',4,Gragas,4,14,47,63,86,0,0,b'Hayombe13',2,Shaco,11,14,97,396,434,0,0,b'SupineFire78778',3,Galio,4,14,229,18,24,0,0,b'BAAHHHHHHHHHHHHH',3,MissFortune,4,7,43,14,23,0,0,b'Dinosaur Meow',3,Blitzcrank,4,14,123,83,97,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4276519457,IRON I,b'Mortelix',4,Sion,4,12,158,101,158,0,0,b'lunch bug',5,MonkeyKing,11,4,262,94,107,0,0,b'Luna5692',4,Seraphine,4,14,134,28,46,0,0,b'Ol Goofy',4,Caitlyn,7,4,186,128,143,0,0,b'R0ssdaddy',5,Karma,14,4,174,196,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'T\xc3\xb6bir\xc3\xa3m\xc3\xa4 S\xc3\xa8\xc3\xb1j\xc3\xbb',5,Teemo,4,12,578,592,565,0,0,b'Grennier',6,Viego,11,4,247,109,109,0,0,b'ireliaonIyfans',2,Yone,4,14,89,5,16,0,0,b'Triixe',3,MissFortune,7,4,205,5,10,0,0,b'Zippysavage05',3,Morgana,4,14,94,4,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4205208416,IRON II,b'dinglehopper69',4,Kayle,12,14,242,122,114,0,0,b'TopHatCat',5,Ekko,11,4,480,135,122,0,0,b'ItsYoBoyJJ',3,Zed,4,14,46,34,57,0,0,b'Kakito1148',2,Ashe,4,14,84,29,32,0,0,b'raindropscyn',5,Rell,3,7,256,171,155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'imfamous pidgeon',4,Renekton,4,14,357,435,439,0,0,b'UGGrimz',4,Warwick,4,11,37,79,97,0,0,b'Classic Mid Dif',5,Fizz,14,4,35,61,82,0,0,b'Telemund0',2,Caitlyn,4,7,116,323,345,0,0,b'Killaeri',4,Leona,4,14,40,14,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4279013799,IRON II,b'Carth39',4,Yorick,12,4,39,24,43,0,0,b'poppyabuser',4,Trundle,4,11,130,41,58,0,0,b'Geshajufi',3,Qiyana,4,14,160,40,56,0,0,b'Fritolover84',5,Ashe,4,7,55,18,27,0,0,b'ohhboosky',3,Velkoz,14,4,70,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'MVGlC',6,Gangplank,12,14,308,124,135,0,0,b'RJ91770',5,MonkeyKing,11,14,197,73,64,0,0,b'SXDGHXST',4,Shyvana,4,12,46,91,109,0,0,b'LilRambe29',2,Akshan,4,14,165,63,77,0,0,b'uCDisgrace',4,Blitzcrank,4,3,90,138,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4283939473,IRON II,b'SoLeee3',3,Irelia,14,4,118,37,52,0,0,b'6pawny9',1,Taric,14,11,294,435,563,0,0,b'Godfather213',6,Ahri,14,4,167,160,144,0,0,b'g\xc2\xaav',2,Samira,1,4,53,10,17,0,0,b'Yo Baby MAMA',0,Lux,4,7,64,43,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Oouu CassyBby',4,Yorick,12,1,719,787,798,0,0,b'phoeuria',3,Volibear,11,14,39,57,70,0,0,b'NUT N THE BUTT',4,Akali,14,4,58,30,31,0,0,b'Nightfall1257',2,Soraka,7,4,88,17,25,0,0,b'FleeDoggy',3,Twitch,12,4,230,123,137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NA1_4281503160,IRON II,b'JohnnyRagoo',4,Teemo,14,4,94,222,183,0,0,b'logon2129',4,Chogath,4,11,42,37,45,0,0,b'Drippin0410',1,Yone,14,4,163,200,200,0,0,b'crackvavlackin',2,MissFortune,7,4,44,68,91,0,0,b'perfectqueue',1,Shen,4,14,69,175,209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Inspector THorn ',1,Gnar,4,12,201,275,319,0,0,b'fluid nachos',1,Warwick,4,11,55,53,78,0,0,b'tigerbelly501',4,Qiyana,4,14,312,858,850,0,0,b'Mibba1',2,Tristana,7,4,33,4,15,0,0,b'Bedro021',1,Senna,7,4,115,33,47,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4285296208,IRON III,b'Crazyknees',1,Garen,12,4,155,55,54,0,0,b'wqqpamka',3,Graves,11,4,78,117,153,0,0,b'Teamclubpub',1,Sylas,4,14,332,84,92,0,0,b'GetSmokedTurd',2,Draven,4,7,122,238,253,0,0,b'MrMcBeefy1',5,TahmKench,4,3,314,186,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'HolyDeliverance',0,Jax,3,14,420,382,406,0,0,b'WNBA YoungBoyy',0,Diana,4,11,91,202,246,0,0,b'Questamoongo',4,Veigar,12,4,131,75,80,0,0,b'Z3qio',4,Twitch,4,3,80,65,72,0,0,b'JohnWaynesHat',4,Brand,14,4,62,30,42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4285467949,IRON III,b'9timescrazy',2,Volibear,4,12,90,69,84,0,0,b'spacebeef69',4,Kindred,11,4,64,175,191,0,0,b'VenusVerdict',1,Neeko,14,4,346,42,60,0,0,b'Auri Kitsune',5,MissFortune,7,4,185,160,160,0,0,b'Elric13',4,Velkoz,14,4,117,120,114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'Zarof',4,Teemo,4,14,304,182,164,0,0,b'RatherBeSailin',0,Graves,11,4,168,304,373,0,0,b'JungleMonkey0',4,Ekko,4,12,201,32,29,0,0,b'RM60',5,Kaisa,4,7,69,26,36,0,0,b'GoldDaylight',3,Lux,14,4,98,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1_4257064493,IRON III,b'rwchckngt1234',3,Yasuo,4,12,106,148,143,0,0,b'TRAPfantasy',4,Chogath,4,11,70,37,52,0,0,b'AnXieTy2u',4,Annie,14,4,67,147,163,0,0,b'MiniLeagueGamer',2,Vayne,14,4,162,142,159,0,0,b'yourtrashbrother',1,Morgana,4,14,156,32,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'imhereright',3,Quinn,4,14,218,30,41,0,0,b'Techtronics',0,Trundle,4,11,69,22,59,0,0,b'ttwin2',4,Fizz,4,14,71,62,88,0,0,b'chumpsackk',4,Kaisa,7,4,58,118,118,0,0,b'Swagnicent',2,Lux,14,4,141,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
